id_event,Event,Season,Year,NOC,Sport
1,Basketball Men's Basketball,Summer,1992,CHN,Basketball
2,Judo Men's Extra-Lightweight,Summer,2012,CHN,Judo
3,Football Men's Football,Summer,1920,DEN,Football
4,Tug-Of-War Men's Tug-Of-War,Summer,1900,DEN,Tug-Of-War
5,Speed Skating Women's 500 metres,Winter,1988,NED,Speed Skating
6,"Speed Skating Women's 1,000 metres",Winter,1988,NED,Speed Skating
7,Cross Country Skiing Men's 10 kilometres,Winter,1992,USA,Cross Country Skiing
8,Cross Country Skiing Men's 50 kilometres,Winter,1992,USA,Cross Country Skiing
9,Cross Country Skiing Men's 10/15 kilometres Pursuit,Winter,1992,USA,Cross Country Skiing
10,Cross Country Skiing Men's 4 x 10 kilometres Relay,Winter,1992,USA,Cross Country Skiing
11,Cross Country Skiing Men's 30 kilometres,Winter,1994,USA,Cross Country Skiing
12,Athletics Women's 100 metres,Summer,1932,NED,Athletics
13,Athletics Women's 4 x 100 metres Relay,Summer,1932,NED,Athletics
14,Ice Hockey Men's Ice Hockey,Winter,2002,FIN,Ice Hockey
15,Swimming Men's 400 metres Freestyle,Summer,1952,FIN,Swimming
16,Badminton Men's Singles,Summer,2000,FIN,Badminton
17,Sailing Women's Windsurfer,Summer,1996,FIN,Sailing
18,Biathlon Women's 7.5 kilometres Sprint,Winter,1994,FIN,Biathlon
19,Swimming Men's 200 metres Breaststroke,Summer,1912,FIN,Swimming
20,Swimming Men's 400 metres Breaststroke,Summer,1912,FIN,Swimming
21,Gymnastics Men's Individual All-Around,Summer,1948,FIN,Gymnastics
22,Gymnastics Men's Team All-Around,Summer,1948,FIN,Gymnastics
23,Gymnastics Men's Floor Exercise,Summer,1948,FIN,Gymnastics
24,Gymnastics Men's Horse Vault,Summer,1948,FIN,Gymnastics
25,Gymnastics Men's Parallel Bars,Summer,1948,FIN,Gymnastics
26,Gymnastics Men's Horizontal Bar,Summer,1948,FIN,Gymnastics
27,Gymnastics Men's Rings,Summer,1948,FIN,Gymnastics
28,Gymnastics Men's Pommelled Horse,Summer,1948,FIN,Gymnastics
29,Athletics Men's Shot Put,Summer,2000,FIN,Athletics
30,"Art Competitions Mixed Sculpturing, Unknown Event",Summer,1948,FIN,Art Competitions
31,Alpine Skiing Men's Downhill,Winter,1992,NOR,Alpine Skiing
32,Alpine Skiing Men's Super G,Winter,1992,NOR,Alpine Skiing
33,Alpine Skiing Men's Giant Slalom,Winter,1992,NOR,Alpine Skiing
34,Alpine Skiing Men's Slalom,Winter,1992,NOR,Alpine Skiing
35,Alpine Skiing Men's Combined,Winter,1994,NOR,Alpine Skiing
36,Handball Women's Handball,Summer,2008,NOR,Handball
37,Weightlifting Women's Super-Heavyweight,Summer,2016,ROU,Weightlifting
38,"Wrestling Men's Light-Heavyweight, Greco-Roman",Summer,2000,NOR,Wrestling
39,Speed Skating Men's 500 metres,Winter,1960,NOR,Speed Skating
40,"Speed Skating Men's 1,500 metres",Winter,1960,NOR,Speed Skating
41,"Gymnastics Men's Team All-Around, Free System",Summer,1920,NOR,Gymnastics
42,Luge Women's Singles,Winter,1984,NOR,Luge
43,Water Polo Men's Water Polo,Summer,1984,NED,Water Polo
44,Sailing Mixed Three Person Keelboat,Summer,1968,NOR,Sailing
45,Hockey Women's Hockey,Summer,1988,NED,Hockey
46,Rowing Men's Lightweight Double Sculls,Summer,1996,NED,Rowing
47,Athletics Men's Pole Vault,Summer,1936,EST,Athletics
48,Athletics Men's High Jump,Summer,1912,NOR,Athletics
49,Sailing Men's Two Person Dinghy,Summer,1992,FIN,Sailing
50,"Athletics Men's 1,500 metres",Summer,2012,FRA,Athletics
51,Bobsleigh Men's Four,Winter,1998,NOR,Bobsleigh
52,Swimming Men's 100 metres Butterfly,Summer,1996,NED,Swimming
53,Swimming Men's 200 metres Butterfly,Summer,1996,NED,Swimming
54,Swimming Men's 4 x 100 metres Medley Relay,Summer,1996,NED,Swimming
55,Football Women's Football,Summer,1996,NOR,Football
56,"Fencing Men's Foil, Individual",Summer,1912,NOR,Fencing
57,"Fencing Men's epee, Individual",Summer,1912,NOR,Fencing
58,"Fencing Men's epee, Team",Summer,1912,NOR,Fencing
59,"Speed Skating Men's 5,000 metres",Winter,1956,NOR,Speed Skating
60,"Speed Skating Men's 10,000 metres",Winter,1960,NOR,Speed Skating
61,Sailing Mixed 8 metres,Summer,1912,NOR,Sailing
62,"Equestrianism Mixed Jumping, Individual",Summer,1992,NOR,Equestrianism
63,Cross Country Skiing Men's 15 kilometres,Winter,2002,EST,Cross Country Skiing
64,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Summer,1936,NOR,Shooting
65,"Shooting Men's Rapid-Fire Pistol, 25 metres",Summer,1936,NOR,Shooting
66,Shooting Men's Trap,Summer,1952,NOR,Shooting
67,Athletics Men's 4 x 100 metres Relay,Summer,1920,NOR,Athletics
68,Athletics Men's Long Jump,Summer,1920,NOR,Athletics
69,Boxing Men's Light-Welterweight,Summer,2012,MAR,Boxing
70,Athletics Women's Javelin Throw,Summer,2004,EST,Athletics
71,"Wrestling Men's Heavyweight, Freestyle",Summer,1992,EST,Wrestling
72,Taekwondo Men's Flyweight,Summer,2000,EGY,Taekwondo
73,Boxing Men's Heavyweight,Summer,1948,IRI,Boxing
74,"Athletics Men's 5,000 metres",Summer,2016,ESP,Athletics
75,"Cycling Men's Road Race, Individual",Summer,1956,FRA,Cycling
76,"Cycling Men's Road Race, Team",Summer,1956,FRA,Cycling
77,Weightlifting Men's Lightweight,Summer,1956,BUL,Weightlifting
78,Weightlifting Men's Middleweight,Summer,1960,BUL,Weightlifting
79,Rowing Men's Coxless Pairs,Summer,2016,ITA,Rowing
80,Judo Men's Half-Middleweight,Summer,1992,CHA,Judo
81,Taekwondo Women's Flyweight,Summer,2016,AZE,Taekwondo
82,Boxing Men's Flyweight,Summer,1972,SUD,Boxing
83,Basketball Women's Basketball,Summer,2008,ESP,Basketball
84,Diving Men's Platform,Summer,2000,CUB,Diving
85,"Canoeing Men's Canadian Doubles, 500 metres",Summer,1992,CUB,Canoeing
86,"Canoeing Men's Canadian Doubles, 1,000 metres",Summer,1992,CUB,Canoeing
87,"Canoeing Men's Kayak Fours, 1,000 metres",Summer,2004,BLR,Canoeing
88,Handball Men's Handball,Summer,2008,FRA,Handball
89,Rowing Women's Coxless Pairs,Summer,2012,ARG,Rowing
90,Boxing Men's Middleweight,Summer,1968,CMR,Boxing
91,Judo Men's Lightweight,Summer,1996,TUR,Judo
92,Boxing Men's Featherweight,Summer,1924,CHI,Boxing
93,Tennis Men's Doubles,Summer,2000,MEX,Tennis
94,Shooting Mixed Skeet,Summer,1992,CHI,Shooting
95,"Wrestling Men's Featherweight, Freestyle",Summer,2004,USA,Wrestling
96,Sailing Mixed Two Person Heavyweight Dinghy,Summer,1976,ESP,Sailing
97,Athletics Women's Shot Put,Summer,1980,URS,Athletics
98,Rowing Men's Coxed Eights,Summer,1984,CHI,Rowing
99,Cycling Women's Sprint,Summer,2004,RUS,Cycling
100,Cycling Women's 500 metres Time Trial,Summer,2004,RUS,Cycling
101,Athletics Men's 110 metres Hurdles,Summer,2012,ITA,Athletics
102,Shooting Mixed Trap,Summer,1984,CHI,Shooting
103,Athletics Women's Marathon,Summer,2004,GRE,Athletics
104,Athletics Men's 100 metres,Summer,2004,NCA,Athletics
105,"Fencing Men's Foil, Team",Summer,1968,MEX,Fencing
106,"Fencing Men's Sabre, Team",Summer,1968,MEX,Fencing
107,Swimming Men's 100 metres Freestyle,Summer,1936,HUN,Swimming
108,Swimming Men's 4 x 200 metres Freestyle Relay,Summer,1936,HUN,Swimming
109,Boxing Men's Lightweight,Summer,1972,NGR,Boxing
110,Modern Pentathlon Men's Individual,Summer,1936,ITA,Modern Pentathlon
111,Boxing Men's Welterweight,Summer,2012,ALG,Boxing
112,Rowing Men's Quadruple Sculls,Summer,1988,ITA,Rowing
113,Rowing Men's Double Sculls,Summer,1996,ITA,Rowing
114,Rowing Men's Coxed Pairs,Summer,1984,ITA,Rowing
115,Athletics Men's 400 metres Hurdles,Summer,1976,KUW,Athletics
116,Athletics Men's 400 metres,Summer,2016,BRN,Athletics
117,Athletics Men's Hammer Throw,Summer,1996,PAK,Athletics
118,Weightlifting Men's Featherweight,Summer,1960,UAR,Weightlifting
119,Athletics Men's 800 metres,Summer,1988,LIB,Athletics
120,Hockey Men's Hockey,Summer,2000,PAK,Hockey
121,Alpine Skiing Women's Slalom,Winter,2014,IRI,Alpine Skiing
122,Rowing Women's Single Sculls,Summer,2012,IRI,Rowing
123,Swimming Men's 50 metres Freestyle,Summer,2008,AZE,Swimming
124,Weightlifting Women's Featherweight,Summer,2000,AZE,Weightlifting
125,Water Polo Women's Water Polo,Summer,2012,ITA,Water Polo
126,Figure Skating Men's Singles,Winter,1964,ITA,Figure Skating
127,Weightlifting Men's Heavyweight,Summer,2016,IRQ,Weightlifting
128,"Equestrianism Mixed Three-Day Event, Individual",Summer,2016,IRL,Equestrianism
129,"Equestrianism Mixed Three-Day Event, Team",Summer,2016,IRL,Equestrianism
130,Figure Skating Mixed Team,Winter,2014,USA,Figure Skating
131,Sailing Women's Three Person Keelboat,Summer,2008,CAN,Sailing
132,"Cycling Women's Road Race, Individual",Summer,2016,USA,Cycling
133,Golf Women's Individual,Summer,1900,USA,Golf
134,Softball Women's Softball,Summer,2008,USA,Softball
135,Archery Women's Individual,Summer,2008,MAR,Archery
136,"Wrestling Men's Heavyweight, Greco-Roman",Summer,2012,EGY,Wrestling
137,Volleyball Men's Volleyball,Summer,2008,EGY,Volleyball
138,Taekwondo Women's Heavyweight,Summer,2008,EGY,Taekwondo
139,Synchronized Swimming Women's Duet,Summer,2008,EGY,Synchronized Swimming
140,Synchronized Swimming Women's Team,Summer,2008,EGY,Synchronized Swimming
141,Taekwondo Women's Featherweight,Summer,2004,USA,Taekwondo
142,Athletics Men's Marathon,Summer,1964,TAN,Athletics
143,Athletics Men's 4 x 400 metres Relay,Summer,1972,TAN,Athletics
144,"Athletics Men's 10,000 metres",Summer,1952,FRA,Athletics
145,"Athletics Women's 3,000 metres",Summer,1984,JOR,Athletics
146,Diving Women's Platform,Summer,2016,EGY,Diving
147,"Shooting Men's Air Rifle, 10 metres",Summer,2000,EGY,Shooting
148,Athletics Men's 200 metres,Summer,1972,SUD,Athletics
149,Weightlifting Men's Flyweight,Summer,1976,EGY,Weightlifting
150,Swimming Men's 100 metres Backstroke,Summer,1948,EGY,Swimming
151,Weightlifting Men's Light-Heavyweight,Summer,1952,EGY,Weightlifting
152,"Wrestling Men's Lightweight, Greco-Roman",Summer,1988,EGY,Wrestling
153,"Fencing Men's Sabre, Individual",Summer,1936,EGY,Fencing
154,"Wrestling Men's Super-Heavyweight, Greco-Roman",Summer,2008,EGY,Wrestling
155,"Shooting Men's Free Pistol, 50 metres",Summer,2008,EGY,Shooting
156,"Shooting Men's Air Pistol, 10 metres",Summer,2016,EGY,Shooting
157,Rowing Men's Coxless Fours,Summer,2000,EGY,Rowing
158,Boxing Men's Light-Flyweight,Summer,2000,EGY,Boxing
159,Boxing Men's Super-Heavyweight,Summer,2000,EGY,Boxing
160,"Wrestling Men's Flyweight, Greco-Roman",Summer,1948,EGY,Wrestling
161,"Shooting Women's Air Rifle, 10 metres",Summer,2004,EGY,Shooting
162,Weightlifting Men's Middle-Heavyweight,Summer,2016,EGY,Weightlifting
163,Athletics Men's Javelin Throw,Summer,2012,EGY,Athletics
164,Volleyball Women's Volleyball,Summer,2008,ALG,Volleyball
165,"Wrestling Men's Welterweight, Greco-Roman",Summer,2012,IRI,Wrestling
166,"Wrestling Men's Middleweight, Greco-Roman",Summer,2016,IRI,Wrestling
167,"Athletics Men's 3,000 metres Steeplechase",Summer,2008,AUS,Athletics
168,"Wrestling Men's Middleweight, Freestyle",Summer,2004,AUS,Wrestling
169,Swimming Women's 100 metres Backstroke,Summer,1984,CAN,Swimming
170,Swimming Women's 200 metres Backstroke,Summer,1984,CAN,Swimming
